"Visited the place with family friends to savour the south Indian dishes which we were told was best in the town.The entire experience was awesome. The food, the ambiance and the service. All was top class.We not only enjoyed Dosa, but also chole-bhature and ice creams.Highly recommend.",2
"We went there for a friend's bday. The food was so delicious. Must try their honey chilli potato and manchurian & noodles. The drinks were good too, we got fresh lime and badaam milk. The staff was very polite amd provided top notch service. Overall, we had an amazing experience.",2
"Sindhi Sweets in sector 11 in Panchkula is very well located. It has a good variety of sweets aka mithai , bakery items , confectionery, Street food like gol gappa , papri chaat , bhel puris etc . Also it has a restaurant serving an  all vegetarian menu having indian , Chinese & continental menu having both starters and main course . Also has a good range of desserts and beverages . The interiors are well done , bright lit and elegant. The service staff is well mannered and efficient and the kitchen staff too is fast in their preparations and the dishes are well presented and well portioned.Vegetarian options: All vegetarian menu is available.Parking: Good parking space available in front of this business.Kid-friendliness: Pretty kids friendly place.",2
"Me and my sister visited there for some snacking.We were out for shopping and after that we wanted to eat something yummy and not so heavy, so we decided to explore newly opened Sindhi Sweets at Sector 11.We tried their Rasmalai, Red velvet pastry, gajar ka halwa, veg puff and Bhalla papdi chaat.Everything looked nice and was served well.The seating area near chaat counter is where we sat. The restaurant looks nice and felt okay, but this seating near the chaat counter felt a bit dark. (Not lit enough)Out of all the things I tried, Gajar ka halwa and Veg puff tasted the best.Rasmalai had a flavour of milk powder/ condensed milk or custard mix.Red velvet wasn’t very fresh, it tasted okay.The chaat was also okay-ish taste wise.Gajar ka halwa on the other hand was really good and perfectly sweet. Veg puff also was flaky and tasted good.We had a nice experience altogether.They have large variety of cookies, gift packs and of course sweets, which look and taste good. :)",2
"Conveniently located in the sector 11 market, but parking can be a challenge here.Sindhi Sweets is a treat for people with a sweet tooth. Tried the rasmalai which was above average, though the serving size was decent. I only wish the syrup was little thicker and sweeter. The flavor at the Elante mall shop is far better!The gulab jamun was big and yumm and the rabdi was good.The service was quick and the people behind the counter are polite and helpful.The shop offers a huge variety of delicacies to choose from.Overall the place is great to satisfy your taste buds.",2
"Sindhi Sweets -Sector-11, Panchkula. Serving the city since 1976, offers a delightful experience:Welcoming Ambience:Step into a warm and inviting atmosphere.Hygiene Excellence:Experience a spotless environment with no hygiene concerns.Delicious Vegetarian Cuisine:Indulge in a delectable array of vegetarian dishes.Varied Menu:Explore a diverse menu featuring ice creams, gift packs, dry fruits, sweets, snacks, and flowers bouquets.Party Gifting Solutions:Find everything you need for gifting at parties, from sweets to food items.Impeccable Cleanliness:Rest assured with well-maintained washrooms.Convenient Payment Options:Enjoy the ease of UPI payments and debit/credit card transactions.Courteous Staff:Interact with a friendly and well-behaved team.Online Ordering:For convenience, Sindhi Sweets is also available on Zomato and Swiggy for online orders.Overall, a delightful experience awaits yoVegetarian options: It is veg restaurant.Kid-friendliness: Lot of space available",2
Sindhi sweets offers good variety in vegetarian options.Ordered their hyped chane bhature but didn't like it. Paani golgappa was also a disappointing dish here. Although chaats and sweets are much recommended here as they offer freshly prepared motichoor Desi ghee laddoos.Ambience is great.It mostly has heavy rush on weekends.Suggestion - They should add some more combo/ platter food options in their menu.Vegetarian options: This restaurant is pure vegetarian and offers large variety of veg options.,2
"Surprisingly the food was horrible when we dined for breakfast last Saturday.The so hyped Chole Bhature were super disappointing, rather the aloo ki sabji given along was better than Chole itself.We had ordered Masala Dosa, Rava Paneer dosa - insane.Who adds coriander leaves in masala dosa - needs good training there. We were group of 10 and none of us could finish individual dishes that were ordered.The great thing was Sweet lassi which we liked and above expectation. But guys your food quality has gone down so bad that we won’t dine ever there. I’m shocked to still think of so worse Chole Bhature.. ideally that must be your signature item on the menu. And when I’m writing this, trust that I’m a food connoisseur and know versatility of food. Your production team needs a real hard work.Service was good and appreciation to them.Genuine feedback by a hotelier.",0
"Great place to eat. I really loved this place. The staffs are great and food is very tasty.   one of the most hygienic place for your street food and sweet tooth cravings in Tricity.I love all the braches of Sindhi Sweets due to their services and delicious food.Must try dishes and my personal favorites are1.Chole Bhature2.Pani Puri and Dhai puri3. Cake4. Noodles5.Pav bhaji6. Kaju Katli7. Fresh LadduAnd ofcourse u can pick any sweet or Namkeen and they are the best.I have also tried their grill sandwiches, cake and they all taste amazing. Cheers For #SindhiSweetsTeam sector 11 Panchkula.",2
The food was overpriced as the price and quantity were not proportionateThe chaat and desert were comparitively still really niceThe service and atmosphere was decent as well,1
"The food was good..nice place to be there with family and friends... sindhi's special channa bhatura and 😋 🍬 🍫 With a welcoming ambiance and attentive staff, you'll feel right at home. The sweets are perfect combination of flavors and textures. The generous portion size ensures a satisfying quality, Don't miss this delicious experience in sidhi sweets 😋",2
"Place beautiful but lighting is dim so if u r a dim light lover u can go here, food is average some stuff is gud some is nt tht gud but I still love Anupam sweets more than sindhi sweets. Parking space is available it's near or on the road u can dine or take away easily.",2
"Ordered chana bhatura and rajkachori. Quality was not good as it used to be...as I visited so many times before.
Chana kulcha aalo sabzi was like in Puri aalo plate. Chana taste was also flat.
Rajkachori shell was hard and dry. Hope the manager will check it.",0
"Recently I visited SINDHI SWEETS, which is located in sector 11, Panchkula. I was really excited to taste amazing food.So I tried their Chana Bhature - which was super delicious. Then I tried their Raj Kachori, which was full of yumminess. Then we ordered mango lassi and vada.Mango lassi was really yumm.I didn't like the taste of Vada as Vada's flavor was just filled with black pepper only. So BIG NO to their Vada. But I will definitely gonna try their more food.Chana Bhatura  5⭐⭐⭐⭐⭐ (Must try)Raj Kachori  5⭐⭐⭐⭐⭐Mango Lassi  4.5⭐⭐⭐⭐Vada 1⭐Quality and quantity of food - Really Good.Gret staff and Service was excellent.Beautiful and fancy Ambience. Highly recommended.Overall great experience 👍 see you soon.",2
"No one can beat the quality of sweets of Sindhi Sweets. Firstly,we ordered paneer masala dosa...it wasn't crisp .... therefore, quality can be improved. Secondly, amritsari stuffed  kulcha was not crisp in the manner it should actually be. Quantity of channa should  be increased.",2
I asked a staff member about washroom and he directed me towards it very politely. I've never eaten here before but atmosphere is really good.,2
Sindhi sweets is one the finest family restaurant . They serving quality and delicious food for ages . They recently opened up in Panchkula.This outlet is one of the biggest sweets shop in town .,2
Nice restaurant for food.Tasty and fresh food.Not very expensive.Chana bhatura veg thali and falooda kulfi are my favourite here.,1
"Another great dining experience with sindhi, in a relatively new outlet! Food was good but you need to wait for a table! Service is on slower side as compared to other outlets! Good for once in time!",2
Best place for corporate dining.we have been bringing our clients for dinner and lunch ...Excellent staff..Nareshji leaves no stone unturned in serving our clients..very happy with experience....!!! Good food good staff,2
"Food is awesome and I recommend it for tasy food items , atmosphere is also good, what I noticed or you can say dont like is suddenly a big rat ran from the main kitchen to directly our table, which I think they should take care for hygenic part.Two times waiters dropped the plates kept on the counter.So on some points they nees improvements otherwise food is must try.",2
"Very Nice ExperienceClean, Very Nice sitting areaFood was well madeNot too spicy as you mostly expect when eating outside 😜Service was fast and courteousPricing genuineOnly reason I am giving 4starts for food is to motivate them to brainstorm and make it even better.",2
Pathetic behaviour of Mr Naresh and all the the staff … very bad experience. They just don’t know how to talk … very Rude behaviour,0
Sindhi sweet as known for sweets.Most delicious  and quality is superb.i love laddo barfi which is awesome.Must try.Enough parking area and sitting and dinning is superb.,2
